sourceUuid,bookName
bd_94d1de651328424a9b12f08f0b5e2b17_4,修真强少在校园
ts_6d8627a46738486b85b67b1550b51430_4,霍少的闪婚暖妻
bd_35f16b03ea4543069213b1d2aa8eae3e_4,女总裁的全能兵王
ts_a99769cc78c84af096b3b6e4caa28deb_4,邻家美姨
bd_d5ca47a85a5d40948ff38ab9109c3ed3_4,神医小农民
ts_fe33598708914eacb2ad85fd54446043_4,夜色盛宴
bd_57ce9e610aea49bb89a8d19a18e8fe4b_4,无敌剑域
ts_8261122440f047bba11afbd7f10ebd5c_4,北城以北海未眠
700ab0f69c1040749d0592b9d3aeb14c_4,春色难挡
195f32de91334e669a4c9af1ca4b4b0b_4,七里花乡
bd_23f87d54bd5a402799db04d3a8f87dff_4,乡村风流邪少
ts_0f8c8f572fe24919b5ab7aa83a7e4393_4,总裁先生矜持点
ts_2b711063ef3a4cb59a369cb0139e1f50_4,乡村满色
ts_c36022093dff4a78b9f50272486c31c3_4,妈咪小心，亿万爹地有点坏
5e2e036dcb1b4fa2803812ea00fa5522_4,我的美女上司姐姐
2a3a0b21e7a84fa1a61b136a9179e798_4,寂寞春床：嫂子上门
bd_45c9c2f311f34cd08e7ad72cb31dc25f_4,青云直上
ts_4c19674cd7234c6b9c41e23fcc2b48b9_4,无上杀神
bd_98ee076d867648f4964663eb909c0a3b_4,一婚之隔
ts_c68d872c766647c2994745fcd3a79f8f_4,为你抹去一世尘埃
e87c495329744867887476ae526ee1ae_4,美女总裁的贴身保镖
ts_88e6a8e7a03b4f4fbe20de6f5e5d08e3_4,逆天神医
bd_e5c85cc1d23f4d618665df359077be50_4,总裁的贴身情人
bd_187297a14d9947b4b39a82d079594dba_4,一夜冥妻
bf93ecec326e45faa2c1bbcd9583d69d_4,侍宠成婚
ts_d1b6c1a5071b42b3b5f9786087124539_4,恋香
ts_9e73d3e849dd40e9922028e5fddf9829_4,神奇小农民
c1729722a6264ea691b9d5f708c4f4cf_4,与女上司合租的日子
1f4bfe99c1ad4feead3274d03b60013e_4,乡村风流邪少（精修版）
7e20dd5762474b0c90005147688f0a0b_4,国色天香（全文）
91e6fea6008942e28a0c681be0cc7280_4,今夜花开
ts_7cfb73a3ab954e44b31653f8fc4b4279_4,神医艳旅
b5bfc6b5639348c79d7b0065862bc783_4,大靠山
bd_290e675283dc49b5a28a1e1d7184f001_4,愿得一人心
e7fc984c33494f40809f3595c96d5567_4,嫂子在上我在下
ts_17c3537ce9494a219416d2e33fbea381_4,幸好，遇见你
ts_c15664d5c0bd4104943133ea7f555019_4,最强兵王
bd_d181f15b-d8f0-4412-9995-163350e930fd_4,天才宝贝：找个首席当爹地
ts_707c9a6c835b4ec2a5974192736eb276_4,夜少的二婚新妻
bd_0b71fa5557c2464eabe752fa8e93ba79_4,女村长的贴身保镖
7f6cb24c11fd4176a27e91964e993b12_4,宠妻撩人：老公持证上岗
2f64565ae9b9416893f180063820a67a_4,终极大神棍
ts_0655e126f4124a2c9ca8c37ef32c998e_4,萌宝来袭：总裁爹地太难缠
bd_ed17f7914b6e40bfaa880adf29a7c21c_4,鬼医神相
1010670c8c94493c87f999b03a58dd66_4,热情的女邻居
ts_6d5792612c944e438bfcd4b7fa11f4b0_4,极品狂医
b822ff0385cd4762b479ca6929d138e8_4,王牌神医在都市
c5cce20cf3db4795a34472011b70e014_4,小村风流韵事
ts_7a7df35edf304dc09e534a6a16718d85_4,婚刺
07ae9fb74dbc47eb90a77429bbf5f6f5_4,最强小地主
ts_e485782aa02c4a22a9f00b8f0b48827c_4,偷个宝宝：总裁娶一送一
e1ea6d5f181b4df9b9a659e0cb4e2f0d_4,亲爱的少帅大人（完整版）
ts_02fa18a19aef4d86a890ab864c40493e_4,猛男诞生记
7171a3e1ee7f4d3895bc6429f861a032_4,盲爱
ts_9aeae62ddc8043bd8fef92a44690c5a2_4,将婚就婚：心跳砰砰砰！
8f252c04e59b413c9a102ca04e3093bd_4,情祸相依
ts_8e1b575fa5104338952fe49d43c0e513_4,保护嫂子
ts_2778df0161114aa688a6b88c46ec4127_4,婚心如故之陆少心尖宠
bd_e3ee956591ed4e03a7b04b8b28ea3e8a_4,官途
bd_ef8d3fb871e742c1973972adfbdab58b_4,花豹突击队
c26ac6e699e440b4a52344442b5d46b6_4,代孕娇妻：权少轻点宠
ts_0333fc9abde743198db76789f98711cd_4,首席爹地饶了我
460060bba9754dbbba1f296690f3ae00_4,婚路漫漫：妻子的欲望
bd_59c6b8f9ad0e441a8513ad8f51e1c376_4,我曾被爱情温柔相待
4f339fc07052445e901d643989f39a5d_4,千万富豪：我在夜场打工的日子
ts_656208bebceb49ffa0f7774e87e8a238_4,步步诱婚：总裁狂宠契约妻
ts_e62d4b705ae940a792a5f02875cadfd9_4,腹黑总裁的呆萌甜妻
a97df31176f447ed94506feabd2c6bc7_4,一号红人（完整版）
1b7140a1bb4e4ec3bcbb08e5e0093cee_4,大村长
bd_22d3820b0c8047f697c3069fdd2853e2_4,乡村小医仙
ts_3c1a0ef2ed9a4078bbe5a1ae27b03e43_4,完美女神
bd_a67baf50c0fd47cf9ec78483289b0dbf_4,爱你不是两三天
3bfddeb2cc4145d7bd455bb67f2a372a_4,一号人物
ts_093dec0095ca463eb2c16a51629fc024_4,买一送一：嫁给亿万首席
bd_76da2678e82e428dbfd804b0b018724d_4,王牌保镖
bd_014dcd9451e2499f9fcdedc079c33e96_4,草根首长
bd_e3ffda39745d494fbbff1907ab8c9d05_4,万古天帝
db84461fd5944e5486782efde66911cd_4,染爱成瘾：狼少枭宠小甜妻
bd_d660b8955ab249b09d9935ed4ee99c2c_4,都市医圣
311261628a8c417381e778c572737deb_4,最强人生
bd_9204df10ce7a408796404661194910bc_4,恐怖女主播
ts_d1d63888809c49019a04aaa7d3a0dd0c_4,总裁大人超给力
e8d21eff4c044c70abe676f7b9a009a3_4,厂妹的秘密
ts_05d4f93225564d9bb3020a7838316268_4,闪婚试爱，家有天价影后
bd_ffd9b70c56bf455e9c639080b2c4eeda_4,重生贵妻：帝少的心尖宠
bc62463756a04d94b1c6f5c712afa900_4,一号秘书：陆一伟传奇
baa227b83d744d5a84ddbf0b6e588129_4,官梯（完整版）
295365737d34460cae47fa15d714ac2c_4,日久生情：爱你，一错到底
bd_c1741d40734b4214815a1db0ea0b9aa7_4,好孕成双：总裁别高冷
bd_92ac4cf87bb942a291bcdf278fc4973d_4,蚀骨宠爱：BOSS太凶猛
ts_f99849fa94b34078bbde90314b095b6a_4,霸道帝少惹不得
ts_698892382925403c9e76b9d562dd26d8_4,昏婚欲睡
2f7e36b461f64df095e73f01945275ba_4,甜婚来袭：腹黑老公坏透了
ts_c16e5a46221d424d8c727eb2e6ad4556_4,弃少归来
3bb3595fb18e412eb9476dbad2d7d790_4,枭雄本色
643c1ce2b8d84e7a9765f95234de545d_4,山村美人香
587abc04e1d443c8a199099264af16af_4,二婚老公尽缠绵
9a4dc5bb8702479fb43ea558c434b886_4,青云官途
ts_00d82bbb75f74af9882e822dbe5b4abf_4,极品村长
ts_6cde31edcd6c4aab85aa442981113759_4,总裁的秘密情人
161db2f7b2cc4e278371515fb90285d8_4,桂花香
ts_c945f5f9bc9f4a0fa115e54c28c96e80_4,村色暖香
bd_3a2a91be2f974677a9e24da836e12270_4,我的傲娇总裁老婆
ts_23e64925ce9f46e6adbe4368c6c61800_4,一夜沉沦：驯服惹火娇妻
ts_4891234a4e5a466b93e5b83fc470039f_4,闪婚娇妻：总裁大人请离婚
bd_a1e45115fc114e2c88a97e4872b2d3f4_4,对手
e2dcdaee6ab24d4d94f77a210b443b67_4,通天仕途
ts_fcb634afa09f411589f89b202de79e34_4,契约婚姻，未婚妈妈误入豪门
ts_0b4f7da6510c4a4dade9ca0b6d747796_4,神医嫡女
bd_97413b330eba42b1898d31f4cf43b16e_4,独家婚宠：首席诱妻成瘾
bd_ec94b76ecef2472fa3d88a73d03bfe44_4,爱上霸道女总裁
40725ea496424fa187575a6a51ef20b3_4,逆袭：我的老婆是村花
879ac8fd3b904d7dbdfacdfee84e5230_4,美女上司爱上我
ts_1d8b82b97b3040bb9387c728c2f6f017_4,婚途似锦
60a592efcbf448e3a6d1fcc468cb9e36_4,噬骨入怀：总裁的柔情蜜意
1c19b366ec3f49958bc4122dac81c37d_4,山野风情
ts_416938e5dfba4b91a87d506411845985_4,医武兵王俏总裁
bd_f6c86bbd1eec4952bc9fd3c4250e26ef_4,桃运邪医
973722a3a9c4498fa18f946f5a542288_4,妻子的秘密
bd_3c1318f930b84c6fb65ab4e81df67dda_4,官道红颜
bd2163c817f3431d964f57334107d947_4,小村渔色
ts_9c5cacc8789746f78bfb5f5d66e1550e_4,护花高手在都市
bd_ee5418ea52f14705beb5a6bc8fd36cb0_4,总裁一吻好羞羞
6996641efef342a082f5451c90aecb86_4,一纸成婚：顾少宠妻成瘾（完整版）
03c7286f2a0341debefd6ad211efc20f_4,鸿运乡途
bd_9f116d9bdd094d5abdde111dbde1f79c_4,超品透视
ts_63faa5501ac84e909fbb86b05166837f_4,官场风云
7e393f950f504e4ebb939f9d9b5a7c42_4,小村渔色
ts_66e79d37700c438a81025900bda27818_4,帝少私宠宝贝妻
ts_f4b51e7880b74de3badc4ff9e692d29e_4,上门为婿
bd_5c7accdb51a040d88b9b48cfb3a0c0a0_4,女总裁的贴身兵王
ts_127d53b71548400eb5430665f7419b8a_4,村中支教那些年
e40248ddbb00454192f1cdf86b34e406_4,我的天仙美人
9d929c02d43345168f260e717b6ccb5c_4,绝世兵王
ts_d5f8693674cd40a69d7ef9c1f0a608c3_4,暖婚100分：总裁，轻点宠
bd_d9bdd8dfc19242acae5d0e00abbe5902_4,深度索欢：邪魅总裁的小嫩妻
bd_3d9cd1b0196242f49b2499d44fe2e7b1_4,至尊帝君
bd_07b7722d3d564fcc8f0cba7ed8564330_4,军长先生我爱你
6cd7a733eb564e59aea02db2f977bf84_4,邻居嫂子
ts_bb2bc9f38dd346cdba31dbddc3d5ae21_4,天才萌宝腹黑爹地
ts_7ea4534939e2436587384792eb310531_4,美女老婆种回家
bd_2a6caa7870a94cb995439d58dbce79aa_4,唐门神医在都市
374f94238f2348848f537e916fdf5d08_4,桃色官途
2d553f426500418fb40119047b45599f_4,暧昧透视
352b676dffc740738dda638c18afe9fb_4,暗香浮爱
bd_9a51f7cd-73eb-4d45-a615-38a01d6729b6_4,情祸相依
ts_a6e316bb936f4534ad6508d75edf0126_4,七次总裁，爱上我！
a52c8d56f11245a19d607cc8cdf1d810_4,二号红人
829024067bb34ccab7072d9ef7659325_4,一亿宠妻：总裁轻点宠
bd_a884938fd9af4ef79267f6a8688769de_4,许我天长地久
bd_6fc5b338b75d4363894883f942a2011f_4,越战记忆
758c3a3000d3409fbaca5accc8e97c70_4,曾想盛装嫁予你
5f73b2670b2a4241868fb38329300c18_4,修仙之王者归来
bd_f4826b023b7a4da08119280664540cd7_4,帝少的心尖宠
8afa86c38486488dbc4dfb2798b85578_4,师座的三世情人
1169fb4829cf46b4a6b8ca1e12c83a8b_4,春香
ts_307f5eaddc66489c9aec48a912c3efdd_4,老夫少妻的互撩日常
0f13ac44813b457babb900684ec9fe4d_4,官欲：缠绵女领导
c088019d61394a8daefd3bf2ddfd8a15_4,猎爱游戏：总裁情难自禁
ts_2073c18e15184020ae36205477f829f6_4,乡情如梦
ts_098bb5a7670f462e805ce90bde452b4f_4,放纵
2e2fce9657ad4b9ba27410ba82e4da2d_4,官梯猎艳
bd_d09dda98c7bc403dbfb0741fb5a64c1c_4,一夜强宠：禁欲总裁强制爱
ts_66540b872c0b4dc9841e27d516d43b90_4,总裁诱爱小娇妻
b52fc9329a8c4c909cdf198be98b0382_4,背叛游戏
52b48ce2a7854e41962211854060cd71_4,红杏妻欲
bd_3e918b70e8e44470bd01d904a4fdba9c_4,二婚之痒
bd_5b883ac627ac431181f70c5f7e4aa7f6_4,女派出所长
1cf7fcde31db47e5bb7179743b607130_4,村光无限好
bd_7c3004355835405da39e0ea2874b17d8_4,女总裁的特种神医
453719ddb4d7413db9f312866f4364c3_4,我在苏黎世等你
bd_e9f6554af6bc4836833b13630bd6a255_4,我身上有条龙
292565f42645462fb5ec2557a7ef1574_4,豪门弃少
bd_f40698507bd54051a802bc71893e9092_4,特种兵王纵横都市
ts_af497d17d1204be1a325d8bbc4169e59_4,全球通缉心尖宠
ts_bc650cbe21af4d768bfbd49841a15751_4,宠妻无罪：首席医生，求别撩
bd_f0d05fc81dd04c2595eb90492d679626_4,隐婚老公请接招
ts_c318f8aaf7e04db9babcc935fc839da2_4,小妻撩人：神秘老公深深宠
2fd124e17248465bbdedce40651ec467_4,女总裁的特种保镖
ts_d244fc0b43ef480ab9d968e058dbaefa_4,妙手偷香
bd_09289ec395d64022b079cfc147c2fbe6_4,春野小村医
bd_a6e72083017f4421a164b29721309590_4,罪恶现场实录
ts_65efd96e74f643a68ac60ac70b1c13aa_4,特战医王
bd_709fe9665b834582944f860dad366c0e_4,强势锁婚：傅少的哑巴新妻
7c30a2b1490d42869e7c0fb9a54fcca0_4,官路：平步青云
ts_1da4558f6e214a8b8c1b1d55136abbbb_4,我在夜店那些年
ts_35a46b0d5d06467ba81f2a1804411d45_4,极品透视仙医
8ee6dd40e26e43528bad4819c38963bf_4,今夜不设防
bd_7651cce1365d4a72b932b873df264c57_4,绝品神医
36533b175ac343c880d335288a1217dc_4,绝世神医
bd_2083f7da32b642dd96bdf3ff69278dc3_4,萌妻太可口：总裁，请克制
b5312a04e46e46b98eddedaacc39f4cf_4,丹师剑宗
bd_1fddb6183a39463eb83b164688fdc768_4,绝美冥妻
ts_78f07a5e9afd4689aa474c83e74bb1fe_4,诱妻入室
16468a30b28644f8b59ce700224d599c_4,官场局中局
ts_0f136ee5e9004a7499bb55abfffd15bd_4,相思入骨情可待
69ae3ad2ddf541dea3f0d2e19ae84767_4,夜夜难眠：婶婶找上门
bd_b983e66fdcaa47af90dd6a8d1e0acf9b_4,如果没有你
ts_021c2819ad704249be626cee986caacc_4,混世神医
bd_30dd006f528547f1a18f770e83886567_4,嫡女贵凰：重生毒妃狠绝色
bd_4a38c7625fbb454f8d3a147f664f23ca_4,赌石高手
bd_0f7fc251b1c645d4917c891ae08752e5_4,妙手神医
56cf4cec6a65465e92649c1291bf6ccf_4,最强狂徒
ts_9d3d1fda5e1f4f52854562668146137b_4,野蛮青春期
bd_8f7efd8bfa7b4232a37627a823b2641a_4,娇妻如芸
bd_3e4ca8f44c71421284a1ab3373615694_4,乡野小春医
bd_612570ec82dc44d7a26007bb3155f2db_4,私房小木匠
20bbb06e3eff4a849412b64722ba99e6_4,盖世小村医
bd_d1bf1c2f38dc45079d60b578caa1c62c_4,超级村医
bd_ce178a0bfd1842d0926278d783e55d20_4,超品医仙
adfe2cd90e26411cbb64a6d92548c0ec_4,都市顶级高手
ts_dae2619c67a54545ad3d54c4aca6f863_4,爹地给钱，妈咪借你生娃
ts_bef989c86c0c4f72ba8939c04be4f676_4,阴媒
bd_463fd9af43da4860a6522d6ca8598109_4,修仙高手混花都
ts_220a75cbdb8b4e7699a63dcd3e3d343f_4,指染成婚：老公别太急
ts_9befcd49181f47e6976ad3d94b3bf125_4,艳满桃花村
33b79a035c4d4d89b4e80da03a688618_4,天才透视神医
ts_1553a28fa0f74b94ae12e6609a646249_4,家有王妃初长成
ts_fcce5dc1c3284b5e807451e4d45da4b1_4,乡村小野医
fc5e553455f946bebc487bbac07565da_4,权欲（改价）
a8437cc9e1664be6a6c3b7cd8d7b4a7c_4,面朝季尧，春暖花开（完整版）
bd_e49c2240c890493cbbd38bc3b0675708_4,山村如此多娇
bd_f6f16cdbdf344c4cb19f562338e82ce8_4,极品透视保镖
ts_190bed4fead349f5a33ca5bd23df941e_4,枕上豪门：冷血总裁的心尖妻
bd_71f8dc2ab8ab487c81ae64d9d72f6577_4,豪门恩怨：娇妻休想逃
b1b91c5a2f3f41f689685dacfddfa1af_4,最美不过遇见你
ts_d9f14589e62543cab5eab821b97bac98_4,隐婚老公很神秘
bd_475403f263b344bcb9834b71c6beb662_4,我是阴阳人
0a173aa55eb84e478175136e6183967f_4,山野小郎中（精修版）
ts_0ec5bfb477a0493484869e5979f67bba_4,情深几许，我的后半生
ts_70f765d40c7642c4adb16f33ff33498a_4,至尊豪门：天价宝宝纯情妈
bd_41cccdb3f7324293b127e1c6d458ebc8_4,捡漏
ts_54d4630849e146b4939a07159923627f_4,天才高手
ts_d0a7eaf20c8444198623a93c1941e256_4,绝品透视仙医
ts_819df1b5b5de4240bc6e1c7f9b786682_4,爱在长夜无尽时
ts_77d8de1255134535bbb854ba68f70abb_4,山村如此多娇
0ce766ef37144bcb96fa4c6ec18d07bf_4,终极小农民
bd_21a083ff8180482186634fc545d8e93c_4,都市最强兵王
bd_0e0772728e9945a8bdfff71f4e75355e_4,冷面总裁的腹黑小情人
bd_0393159422284160bbc7d8c2c921f25c_4,总裁一宠成瘾
bd_0085735d2ff949379c8cc63c4d34287f_4,独家宠婚
bd_51495e8639654176945ee101ebf95bd0_4,一念天堂，一念地狱
ts_a6aad0dece004ad1bd0f045910c49692_4,恰逢爱你，情深不渝
bd_aeb3f83476f348b8ab8e5ce29392375a_4,合租医仙
